genus,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical),Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical)
Pan_paniscus,NA,25.8126195,21.98852772,22.94455067,25.8126195,23.90057361,25.8126195,22.94455067,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,15.61065197,17.44719927,21.12029385,24.79338843,22.95684114,NA,20.2020202,18.36547291,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,20.38216561,21.01910828,24.20382166,24.20382166,21.65605096,19.10828025,17.8343949,18.47133758,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,22.03389831,21.18644068,27.11864407,26.27118644,26.27118644,22.03389831,22.88135593,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,19.02587519,23.59208524,21.30898021,18.26484018,22.07001522,23.59208524,21.30898021,33.48554033,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,22.43125904,23.87843705,NA,NA,NA,NA,17.36613603,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,NA,NA,NA,NA,17.82945736,17.05426357,19.37984496,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,21.22641509,25.94339623,22.01257862,25.1572327,22.01257862,22.79874214,24.37106918,20.44025157,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,23.49256069,21.92638998,22.70947533,21.92638998,21.92638998,21.92638998,21.14330462,22.70947533,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,NA,30.94233474,30.23909986,31.64556962,26.01969058,21.80028129,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,20.85143354,21.72024327,NA,NA,NA,25.19548219,22.589053,20.85143354,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,NA,NA,21.73913043,24.45652174,28.98550725,NA,24.45652174,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,19.6969697,19.6969697,22.72727273,22.72727273,24.24242424,19.6969697,16.66666667,13.63636364,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,21.1780278,25.14890801,22.50165453,25.81072138,27.13434811,23.82528127,23.82528127,19.19258769,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,24.2669363,23.25581395,23.25581395,23.25581395,21.23356926,21.23356926,25.27805865,21.23356926,NA,NA,NA,NA,NA,NA,NA,NA
